,title,authors,manufacturer
B000F83SZQ,A Matter of Policy [An Amy Brewster Mystery],Sam Merwin Jr.,PageTurner
B000FA64PA,Saboteur: Star Wars Legends (Darth Maul) (Short Story) (Star Wars: Darth Maul Book 1),"James Luceno, Ron Marz, Jan Duursema, Rick Magyar, Drew Struzan",Del Rey
B000FA64PK,Recovery: Star Wars Legends (The New Jedi Order) (Short Story) (Star Wars: The New Jedi Order),"Troy Denning, Ron Marz, Jan Duursema, Rick Magyar, Drew Struzan",Del Rey
B000FA64QO,Ylesia: Star Wars Legends (The New Jedi Order) (Star Wars: The New Jedi Order),Walter Jon Williams,Del Rey
B000FBFMVG,A Forest Apart: Star Wars Legends (Short Story) (Star Wars - Legends),Troy Denning,Del Rey
B000FC1BN8,Fool's Bargain: Star Wars Legends (Novella) (Star Wars - Legends),Timothy Zahn,Del Rey
B000FC1TG2,The Iron Marshal,Louis L'Amour,Bantam
B000FC2MB8,Brionne: A Novel,Louis L'Amour,Bantam
B000JMKNQ0,Boba Fett: A Practical Man: Star Wars Legends (Short Story) (Star Wars - Legends),Karen Traviss,Del Rey
B000JMLBHU,The Mysterious Island,Jules Verne,Public Domain Books
B000JMLG4S,"Knots, Splices and Rope Work A Practical Treatise",A.(Alpheus) Hyatt Verrill,Public Domain Books
B000JMLHYC,The English Orphans,Mary Jane Holmes,Public Domain Books
B000JQUSBQ,Indian Fairy Tales,Public Domain Books,Public Domain Books
B000JQUT8S,Oliver Twist,Charles Dickens,Public Domain Books
B000JQUTGK,"The Lincoln Story Book A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form",Henry Llewellyn Williams,Public Domain Books
B000JQUU00,English Fairy Tales,JOSEPH JACOBS,Public Domain Books
B000JQUXBQ,The Diary of a U-boat CommanderWith an Introduction and Explanatory Notes by Etienne,Public Domain Books,Public Domain Books
B000MAH6G4,Hawke: The Law of a Fast Gun,Robert Vaughan,HarperCollins e-books
B000MAH73Q,Falling in Love Again (Avon Romantic Treasure),Cathy Maxwell,HarperCollins e-books
B000NY11RY,"Tempt Me, Taste Me, Touch Me",Bella Andre,Pocket Books
B000PDZG6K,Tallchief,"Dinah McCall, Sharon Sala",HarperCollins e-books
B000Q9J0CO,Caught off Guard [Heroes of Silver Springs 1] (Siren Publishing Classic),Tonya Ramagos,Siren Publishing
B000QCS8YM,Sherlock Holmes: The Complete Novels and Stories: Volumes I and II: 1,Arthur Conan Doyle,Bantam Classics
B000QUCOB2,Stealing Sophie (Avon Historical Romance),Sarah Gabriel,HarperCollins e-books
B000R3NNAE,Hawke: The King Hill War,Robert Vaughan,HarperCollins e-books
B000SEGE3K,Sky Hunters: Anarchy's Reign,Jack Shane,HarperCollins e-books
B000SN6IOQ,Allan Quatermain,H. Rider (Henry Rider) Haggard,Public Domain Books
B000TU16PE,The Highland Rogues: Warrior Bride,Lois Greiman,HarperCollins e-books
B000U0NSV8,An Unladylike Offer (The Radwells Book 2),Christine Merrill,Harlequin Historical
B000UB9NCK,The Stranger,Elizabeth Lane,Harlequin Historical
B000UHAFGM,Jennifer Crusie Bundle: Getting Rid of Bradley\Strange Bedpersons\What The Lady Wants\Charlie All Night,Jennifer Crusie,MIRA
B000VXV7K8,Marriage At Circle M (Windover Ranch Book 2),Donna Alward,Harlequin Romance
B000W915JE,Hawke: Showdown at Dead End Canyon,Robert Vaughan,HarperCollins e-books
B000W93AHO,The Italian's Pregnant Mistress (Mistress to a Millionaire),Cathy Williams,Harlequin Presents
B000WCWV30,Lady Amelia's Secret Lover (Last Man Standing),Victoria Alexander,HarperCollins e-books
