,title,authors,manufacturer,rank,price,currency,reldate,page,language
B000HA4FKY,The Boston Globe,,The Boston Globe,190418,2999,USD,2015-10-21,,English
B000HC48T0,The Washington Post for Kindle (Ad-Free),,The Washington Post Company,54262,1199,USD,2013-11-11,,English
B000MV9B66,Austin American-Statesman,,Austin American-Statesman,346771,999,USD,2013-11-11,,English
B000N8V3EQ,Analog Science Fiction and Fact,,Dell Magazines,93187,299,USD,2017-05-24,,English
B000N8V3FA,Ellery Queen's Mystery Magazine,,Dell Magazines,172506,299,USD,2017-05-24,,English
B000N8V468,The International New York Times,,The International New York Times,178886,1499,USD,2013-11-11,,English
B000PATZGK,The Nation,,The Nation,91012,199,USD,2017-05-23,,English
B000PIT0RG,Reader's Digest,,Reader's Digest USA,34670,149,USD,2017-07-06,,English
B000Q6Z64S,The New York Times - Latest News,,The New York Times Company,117674,199,USD,2017-02-27,,
B001BAJA9K,Financial Times - US Edition,,The Financial Times Limited,109748,1499,USD,2013-11-11,,English
B001KBZ3D2,"USA Today, Paid No-Ads Daily Edition",,USA TODAY,125043,1199,USD,2013-11-11,,English
B001NPDA44,"Belkin Neoprene Kindle Case (Fits 6"" Display, 2nd Generation Kindle)",,Belkin Inc.,,,,2009-02-23,,
B001O2SCKI,The New Yorker,,The New Yorker,42303,899,USD,2017-07-06,,English
B001W1TZTS,Rapid Wall Home AC Charger for the Amazon Kindle all models including the Fire HD HDX DX / Touch / Keyboard (WiFi and 3G),,Gomadic,,2495,USD,,,
B001W1XT40,Rapid mini 10W Car / Auto Charger for the Amazon Kindle all models including the Fire / HD / HDX / DX / Touch / Keyboard (WiFi and 3G),,Gomadic,,1995,USD,,,
B001W1XT6I,Essential Kit for the Amazon Kindle / DX / Touch / Keyboard (WiFi and 3G) includes a Car and Wall Charger,,Gomadic,,2995,USD,,,
B0026RHUQC,"Belkin Neoprene Kindle DX Case (Fits 10"" Display)",,Belkin,,3525,USD,2009-06-10,,
B0027VSU9S,The Economist - US Edition,,The Economist,73224,999,USD,2017-02-09,,English
B002Y27P4Q,"Amazon Kindle Replacement Power Adapter (Works with 6"", 9.7"" Display, 2nd and Latest Generation Kindles)",,"Amazon Digital Services, Inc",,,,,,
B003CFB8T2,Mighty Bright XtraFlex2 Clip-On Light (Kindle Version) White,,Mighty Bright,,,,,,
B003FZA1OW,Verso Clip-On Reading Light for Kindle (Graphite),,Rejects from Studios,,,,2013-01-01,,English
B003HKRVAW,Belkin Clip-On Reading Light for Kindle (White),,Belkin,,1395,USD,,,
B003U4VIXQ,"Timbuk2 Nylon Kindle Envelope Sleeve (Fits Kindle Keyboard), Black",,Timbuk2,,,,,,
B0041KL6TY,Thanksgiving Tales: True Stories of the Holiday in America,,Sestin LLC,557683,,,2010-09-01,200,English
B0042AM7L4,"M-Edge Trip Kindle Jacket, Black (Fits Kindle Keyboard)",,M-Edge,,,,,,
B0047O2RNI,Bible Encyclopedia (ISBE),,OSNOVA,473057,,,2010-10-18,,English
B004JXVOD6,"Kindle Leather Cover, Black, Updated Design (Fits Kindle Keyboard)",,"Amazon Digital Services, Inc",,,,,,
B004MSQZUU,"Moshi Moonrock In-Ear Headphones, Black",,Moshi,,2699,USD,,,
B004SBPM0A,Yo Mama! A Collection of 'Yo Mama' Insult Jokes,,Cherry Lane Ebooks,662764,,,2011-02-28,50,English
B004SD26Z2,"Amazon Kindle Zip Sleeve, Graphite (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,"Amazon Digital Services, Inc",,,,,,
B004SD27OC,"Amazon Kindle Zip Sleeve, Lime (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,"Amazon Digital Services, Inc",,,,,,
B004SD27WE,"Amazon Kindle Zip Sleeve, Coral (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,"Amazon Digital Services, Inc",,,,,,
B004SD283M,"Amazon Kindle Zip Sleeve, Charcoal (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,"Amazon Digital Services, Inc",,,,,,
B004TOY9ZA,The Children's Book of Christmas Stories,,,,,,2011-03-24,211,English
B004TOYJ6E,The Book of the Cat,,,,,,2011-03-24,38,English
B004TPVFJM,Famous Adventures And Prison Escapes of the Civil War,,,,,,2011-03-24,268,English
B004UKD6Q6,"One Young Man The simple and true story of a clerk who enlisted in 1914, who fought on the western front for nearly two years, was severely wounded at ... and is now on his way back to his desk.",,,,,,2011-03-30,150,English
B004X1XEYG,INSPIRATIONAL QUOTES ULTIMATE COLLECTION:  3000+ Motivational Quotations With Special Humor Section,,Everlasting Flames Publishing,82712,,,2011-04-17,420,English
B004ZHE5I2,Not Safe for Work (Neovella Book 1),,Neovella,1381466,,,2011-05-05,101,English
B0056O36I8,Bubblin' Brown Sugar,,Kissed Publications,1915717,,,2011-06-17,107,English
B005DMM7K6,Taste of Home Summer Slow Cooker Recipes,,Taste of Home/Reader's Digest Association,1779028,,,2011-07-19,235,English
B005DOK8NW,Amazon 5W USB Charger (also compatible with other android and iOS devices),,"Amazon Digital Services, Inc",,,,2011-04-19,,
B005DOKG70,"Amazon Kindle EU Power Adapter (Kindle, Kindle Touch, Kindle Keyboard, Kindle DX)",,"Amazon Digital Services, Inc",,,,,,
B005DOKIYG,"Amazon Kindle Fire HDX 7"" Zip Sleeve, Blue (fits the all new Kindle Fire HD and HDX 7"")",,"Amazon Digital Services, Inc",,,,,,
B005GJC01C,Moshi Tera Glove - Black,,moshi,,1995,USD,,,
B005HSG3BA,Marware Jurni for Kindle Fire (Red/Black),,Marware,,1000,USD,,,
B005HSG3L0,"MarBlue Atlas 1.0 Kindle Case Cover, Pink (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B005HSG446,"Marware Eco-Vue Genuine Leather Case Cover for Kindle, Black (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
