,asin,title
0,B0002IQ15S,Mobility IGO AUTOPOWER 3000 SERIES ( PS0221-10 )
1,B000PI17MM,"iGo EverywhereUniversal Wall (AC) and Auto (DC) Charger with Retractable Cable (Charger Only, Tips Not Included)"
2,B000QSPO3Y,iGo Power Tip for Original Amazon Kindle and Select Sprint Smartphones
3,B00115PYGS,Car Charger for the Amazon Kindle 1 (1st Generation) - 1 Amp output for faster charging
4,B001SPTFAM,Rapid Wall Home AC Charger for the Amazon Kindle (1st Generation) - uses Gomadic TipExchange Technology
5,B001SPVISE,"Advanced Amazon Kindle (1st Generation) compatible International Wall AC 2A Charger - Powerful 10W charging, built with Gomadic Brand TipExchange Technology, for worldwide use"
6,B001SPVIE8,Car and Wall Charger Essential Kit for the Amazon Kindle (1st Generation) - uses Gomadic TipExchange Technology
7,B001U3TQ3S,Vintage Leather Kindle 2 Book Cover with Hinge
8,B001W1XT6I,Essential Kit for the Amazon Kindle / DX / Touch / Keyboard (WiFi and 3G) includes a Car and Wall Charger
9,B002GJQ7AU,High Capacity Rechargeable External Battery Pocket Charger for the Amazon Kindle / DX / Touch / Keyboard (WiFi and 3G) - uses Gomadic TipExchange Technology
10,B002GJXI5C,Amazon Kindle (1st Generation) compatible Powerful Lithium Polymer Rechargeable Gomadic Brand Battery Pack - High Capacity Portable Charger with upgradeable TipExchange Technology
11,B002KESNT4,Car and Home 2 in 1 Combo Charger for the Amazon Kindle (1st Generation) - uses Gomadic TipExchange Technology
12,B002KPV7LO,"Faux Leather Kindle Sleeve Case for Kindle (Fits 9.7&quot; Display, Latest Generation Kindle DX) - Yellow (Smooth finish)"
13,B002KPYYAU,"Faux Leather Kindle Sleeve Case for Kindle (Fits 9.7&quot; Display, Latest Generation Kindle DX) - Light Blue (Smooth finish)"
14,B002KPXC5S,"Faux Leather Kindle Sleeve (Fits 6&quot; Display, 2nd Generation Kindle) - Silver"
15,B002KPXC12,"Faux Leather Kindle Sleeve Case for Kindle (Fits 6&quot; Display, 2nd Generation Kindle) - Light Blue (Smooth finish)"
16,B002KQ10YW,"Faux Leather Kindle Sleeve Case for Kindle (Fits 6&quot; Display, 2nd Generation Kindle) - Yellow (Smooth finish)"
17,B002KPYY9Q,"Faux Leather Kindle Sleeve Case for Kindle (Fits 9.7&quot; Display, Latest Generation Kindle DX) - Cool Pink (Smooth finish)"
18,B002QDBU4Y,"Vintage Leather Kindle DX Book Cover with Hinge (Fits 9.7&quot; Display, Latest Generation Kindle DX)"
19,B002T4P370,International Essential Kit for the Amazon Latest Generation 6&quot; Kindle (US &amp; International) includes a Car and International Home Charger w/ TipExchange Technology
20,B00302SYMG,"Genuine Weave Leather Kindle 2 Cover with Hinge (Fits 6&quot; Display, 2nd Generation Kindle), Black/Brown"
