,asin,overall,summary,reviewerID,helpful,reviewText,reviewerName
23406,0007269854,4,intriguing,A1A2YTFX2XC4O2,"[1, 1]","Scandinavian mysteries have a certain cool charm, something that draws the reader in and does not let go. ""The Ice Princess"", by Camilla Lackberg, a novel set in Fj&auml;llbacka, a small town on the coast, is no exception.One cold day, a retired fisherman is going to have a look at the house he had been caring for in the owner's absence. He is shocked to discover the owner, beautiful art gallery owner, Alexandra Wijkner, dead in the bathtub of frozen water. The first person he encounters on the street when he runs out for help, is Erica Falck, the victim's childhood friend, a writer who came back to Fj&auml;llbacka to sort out the household after her parents' tragic death. After reporting Alex's death to the police, Erica finds herself emotionally drawn to the case and her persistence leads to the solution of the crime and many striking discoveries. Also, the young detective, Patrik Hedstrom, is Erica's and Alex's school friend, who always had a sweet spot for Erica... So, there is also an element of romance.""The Ice Princess"" is the first of the ""Patrik Hedstrom"" series. I am very curious how he does as a star detective in the later books, because here, although nice, he is still a bit boyish and nave (although intelligent, empathetic and sensitive, very desirable traits in a detective). I think that advertising this novel as similar to the Larsson and Mankell novels was unfair (aside from the fact, that the Millennium and the Wallander series have nothing in common but the setting and a wide social background). ""the Ice Princess"" is more of a classic mystery set in a close, remote community, with its charms and limitations. The characters are drawn with bold lines, there is a lot of black-and-white, and the social background concentrates more on the relationships between the inhabitants of the area. Not so many nuances and complications. More like theatre. Nevertheless, it is a good novel, I read it with pleasure and I will continue reading the series. I liked Erica and I understand that she will appear in the next novels, so I want to see, how she develops as well. There is already a TV show made in Sweden from the series( 2007). It is a pity that the translation was so late...",Aleksandra Nita-Lazar
23407,0007269854,4,Well done Scandanavian noir!,A1X2YRSD648FM3,"[1, 1]","Taut, well-written Scandanavian noir. Writer Erica is back in her small home town, to clean out her recently deceased parents' house, when her childhood best friend is found dead (in a graphic and visually arresting manner). Having been, in the past, close with that family, Erica becomes involved with the investigation, and gradually dark secrets from all levels of the town are revealed. This was really well done, with excellent characterizations, and a solid plot that kept tightening. It was really good, and I am definitely looking forward to her next title that will be released, The Preacher.This was no The Girl With The Dragon Tattoo, in that it was not a high-speed techno thriller, but it was a carefully paced Christie-esque mystery, with that atmospheric Swedish flavor. I liked it much more than Karin Fossum's Down By The Water, which, while dealing with the same subject, managed to be much more offputting and depressing.","Alexandra Henshel ""Librarian/Book Blogger/Pas..."
23408,0007269854,3,Suspense! and love!,AEMM6NOR4WJQE,"[0, 0]","I wrote this review for my blog, Little Miss Reader: http://little-missreader.blogspot.dk/This book was okay, I really liked the pages that was set from the killer's point of view (at least I guess it is from the killer's POV). They were so poetic and beautiful.I did not guess who the killer was, before it was revealed - and I cannot figure out whether that is a good or a bad thing. But the book kept surprising me, there was always another detail revealed.The relationship that evolved between the main character Erica Falck, and the other main character Patrik Hedstr&ouml;m was cute, sweet and quick. All through out the book I was looking forward to reading about them and their relationship!I felt bad for Anna and her kids, her husband is a complete douchebag! And she should just leave him!When it comes to the crime itself, I think it was interesting, a woman found in a bathroom, it looks to be suicide (but of course it is not), and then the investigation gets going and love is in the air!Since I got the entire series as a Christmas present from my boyfriend's family, I will continue to read them and see the movies/series (I know there is some sort of screenplay of the books!)This book gets a 3 heart rating since it is a bit meh, but I still enjoyed it!",AmandaEmma @ Little Miss Reader
23409,0007269854,4,Firt time reading Camilla Lackberg,A1BOGFPEV1FNB8,"[0, 0]","Living in Europe, I always wanted to read her but the other day, looking through Kindle mysteries, I decided why not read her. Well, I certainly wasn't disappointed! Not revealing much, I was certainly in suspense for a long time. If you've never read any of her books, I think this one is a must. Will plan to read others written by her, but not sure if I'll follow it chronologically.",Amazon Customer
23410,0007269854,3,Maybe the next one,A19145U1AEX74L,"[5, 5]","So many good Swedish crime writers these days and here was a new one:  Camilla L&auml;ckberg. I looked forward to a good read.  Yes, I liked The Ice Princess; yet as the story unfolded, I went from anticipation to mild disappointment. Still I continued to the end, largely because I'm such a fan of Swedish crime fiction.The plot is a good one, and the twists and turns keep the reader interested.  The character of the first murder victim never came alive for me.  She is presented as elusive and private.  Well, she slipped right past me.  I don't know anyone like this in life, yet she was the object of several long-term passions and her murder, and its aftermath drive the plot.Patrick Hedstr&ouml;m, the police investigator is an appealing character and the incipient romance between him and the main narrator is well played. The depiction of the police investigative team was lively and human.  Mellborg, the chief investigator and preening [...], jumps off the page. Minor characters are sharply drawn. I was not so fond of the main narrator, Erika Falck, a struggling Weight Watcher, and the improbable reason she has for involving herself in the investigation. Other characters too had weak motivations.The prose style was overblown, with very little color.  The dialogue was wooden at times. You can't blame everything on the translator, Steven T. Murray, who did such a masterful job of translating Stieg Larssson's Millennium Trilogy. You can't blame the translator either for an idyllic presentation of a Swedish coastal town. Or for the story's slow, and sometimes repetitive pace.The horrific secret  that drives the plot was glossed over too quickly for my taste. What? That's it? Isn't anybody going to react to one of the central facts?A good read, all in all nonetheless.  I look forward to the translation of L&auml;ckberg's other novels which are bestsellers in Sweden.",Amazon Customer
23411,0007269854,5,"A fine, unexpected mystery",A2M4R8R6SU049A,"[2, 4]","Imagine that you had a very best friend back in grade school, and that the two of you were as close as sisters.  Imagine that one day, your friend became distant, and then, finally, the friendship just ends with no real explanation.  One day you have a friend, then soon you don't, and then the ex-friend and family move away.  Maybe you would always wonder what happened.Now imagine that 25 years later, you are visiting your home town, and a distraught townsman runs into you in the street saying that someone has to see what is in this house -- and what do you find?  Your old friend, an apparent suicide.Through a sequence of events, you end up writing an article as a sort of long obituary, to please her family.  Slowly, you and the police realize that this wasn't suicide.All of that information is given to us in perfect manner in the first few chapters.  The author does a wonderful job at introducing side characters, red herrings, and a wonderful group of characters, both fine and flawed.I must say, I did not see the end coming.  I loved it!  I hope many more of the author's works find their way to English!","Amazon Customer ""too many books, too little time"""
23412,0007269854,4,"Strong Atmospherics, Interesting Characters",A2AFIEWV1QKF8E,"[0, 0]","This is the first in yet another Swedish crime series, and I liked it a lot. The characters -- particularly that of the female protagonist, Erica Falck, come alive, and engage one's emotions as well as one's intellectual interest. The setting, a small summer resort on Sweden's west coast, is lovingly evoked. The solving of the murder, which depends on finding out about the life and personality of the vicitm, is engrossing. My one problem is with the prose, which is as some other reviewers note a bit leaden. For me, that was a much less serious problem than for some others: the characters, the setting, and the humor sparkle through. Also, I prefer to blame it on translation.",Anne Mills
23413,0007269854,2,Just could not get into this one,A2PEKLR1DGLY7L,"[1, 1]","The description of the book makes it sound like it would be the type of book that I would like, but I couldn't finish this one. I did not find the characters to be interesting or appealing; I didn't want to find read what happened next.","a reader ""of books"""
23414,0007269854,4,series debut,A2C27IQUH9N1Z,"[0, 0]","Erica Falck, a biographer, has left Stockholm and returned to her home town, though she hasn't decided for how long. Her parents have died and she's cleaning out their home, her brother-in-law is pressuring her to sell the place, and her childhood friend has just committed suicide. Erica is under a heavy load, feeling herself at a crossroad. So it's a pleasant surprise when she reconnects with another friend from her childhood, police detective Patrik Hedstrom, who's looking into the suicide.This series of books features the relationship of writer Falck and detective Hedstrom, and in this debut we see them getting to know each other as adults. There are quite a few characters, and I had to take notes, though I don't mind that. I thought the premise was very good and the characters interesting. The characters were not, however, deep or intriguing. The pace was dull at times. At nearly 400 pages, it could have benefited from an editor's touch. We got lots of detail about people's actions, but I didn't feel we ever got any deeper into their psyches, even the two major characters, Patrik and Erica. Late in the book when Erica finds out various truths and secrets, she tells us she's &#34;so angry&#34;, but that's as deep as it goes. Hmm. I am hoping that the next books in the series will be more revelatory. The ending of several story threads felt rushed, and some weren't addressed at all. I guess that's partly to be continued in the second book, but it still felt unsatisfying.The book is good enough and the characters interesting enough, though, that I will read the next in the series. I also look forward to seeing how author Lackberg grows as a writer. I enjoyed the bits where Erica thinks about her writing career, and I think this is a promising debut.The books in the series, in order, are: The Ice Princess. The Preacher, The Stonecutter, The Gallows Bird, The Hidden Child, The Drowning, The Lost Boy.",audrey
23415,0007269854,4,Good if you can overlook the sappiness.,A3GO0DT9HL036A,"[0, 0]","It was a good plot, but a bit too much on the &#34;Kiss, Kiss, hug, hug.&#34; Brutal murders and soap opera don't co-exist well.",BA
23416,0007269854,2,Predictable,A27UOBF7PW2RS7,"[2, 2]",This book was recommended to me. I love the writers from Sweden/Norway/Iceland.I prefer more of a /police procedural. This book read like more of a novel. Too easy to figure out.I will not be reading any more books by this author.,Barbara C. Shanahan
23417,0007269854,1,Absurd police ineptitude,A38L3I3R3VRPTT,"[0, 0]","I agree with the complaints about cliches, cardboard characters and repetition.  What amazed me most was Erica's being able to enter the house where the body was found.  Surely Swedish police secure the crime scene!  But wait--there's more--that house is used for the funeral reception!  No sign of SOCOs, who are an important part of any investigation.  Thus the novel is unbelievable almost immediately.Did anyone edit this book?I bought this on my Kindle based on rave press reviews and awards.  I feel cheated.","Bay Area Bibliophile ""marisylvia"""
23418,0007269854,5,Truly a mystery,A362OHUN4V0ZKG,"[0, 1]",The Ice Princess made me wonder all the way through how the story could all be brought together.  The structure is complex but provides a surprise ending that is so right.  Many surprise endings seem to suddenly come from the author at the end.  This one we are prepared for but certainly not aware of any other time in the novel.  A somewhat dark but suitable background.  A great read.,"B. Harding ""Bookie"""
23419,0007269854,3,It's always the quiet little towns,A9OU7Y9RJ120Q,"[0, 0]","Fjallbacka, Sweden is an idyllic fishing village. Rich city folk pay tons of money for summer homes here. People that live there rarely want to leave. All is not as it seems though. Small towns can hold big secrets. You know the saying, ""Two people can share a secret -- if one of them is dead."" Someone has taken that to heart.Erica Falck returns to her hometown to settle her parents' estate after their death in a car accident. She didn't expect to find the frozen corpse of her childhood best friend. Despite all signs pointing to suicide, Erica feels like Alex wouldn't and didn't kill herself.Patrick Hedstrom is the officer assigned to the case. Hobbled by an incompetent supervisor, he tries to uncover why someone would kill, and in Fjallbacka. With ingenuity and some prompts from Erica, he works slowly but surely to solve the mystery.The mystery is complicated by the fact that in a small town like Fjallbacka everyone seemingly knows each others business. Can there be any secrets worth killing for? Who would have such a secret? Why murder now? Horrific deeds come to life despite the best efforts of several people including the murderer to keep them hidden.There was lots of extraneous info in this book. The characters constantly repeating each others ideas or withholding information from each other. There are several sections showing either Erica's or Patrick's angst regarding the other. The multiple viewpoints, one of which isn't revealed until later in the book, can be very distracting.Overall, the book was well done. The main characters were pretty well done and had pretty clearly defined personalities. The plot was suspenseful and had several interesting twists. It's a great beach read that keeps you interested but is low maintenance. I look forward to reading the rest of the series.** This review was based on a book provided by the publisher.**",Bibliophagista
23420,0007269854,4,Slow burner rather than page turner,A8RC9GQ0Z4ASL,"[1, 1]","Set in the small fishing community of Fj&auml;llbacka, the finding of the body of Alex Wijkner partially frozen in the bath with her wrists slashed is the start of a series of events that threatens to uncover dark secrets that some residents would prefer stayed buried.Alex's childhood friend, authoress Erica Falck is one of the first at the scene of the apparent suicide and she with Policeman Patrik Hedstr&ouml;m (another childhood friend) find themselves working together as they look into the death of their former school friend. The budding relationship between these two, tentative and unsure of each other, is central to the storyline and whilst quite nicely done, at times had chicklit overtones.After struggling with the first few chapters, I really liked it. A 'slow-burner' rather than a 'page-turner' that flowed well and kept me reading to the end. The small town community with its twitching curtains was well depicted and the characters interested me. There seemed to be quite a lot of side threads where additional characters were introduced with quite lengthy background detail only to then vanish from the pages which I found quite strange, but on the whole an enjoyable read and I'll certainly be reading the second book in the series The Preacher.",Big Bertha
23421,0007269854,3,Good action read,A2L9TUOE290MT4,"[0, 0]",A bit slow starting off but it does pick up.  I found the story sufficiently engrossing to read the next in the series.  I did enjoy the story but felt a little let down by the ending.  In reality a 3.5 star rating is more accurate.,Bill Thibadeau
23422,0007269854,5,Scandinavian detective fiction at its best,A34YIIIRPAFLD5,"[1, 1]","I was delighted to discover this book, and a new-to-me Scandinavian crime writer to add to the list.The character of writer, Erica Falck was well drawn and the closed, oppressive community of the village she returns to when her parents die is shown very clearly. Erica discovers the dead body of her childhood friend Alex, and at first it seems possible that she has committed suicide. Erica, to overcome her writers' block, begins a memoir about her mysterious friend and starts to unravel the secrets of their past.When she meets Patrik Hedstrom, local police detective, they begin to work together to discover the truth.I enjoyed the book immensely and shall look forward to many more by this new young writer.",Bizgen
23423,0007269854,4,Slow developing murder mystery,A15YT5AKBDUGU0,"[0, 0]","The story starts with an apparent suicide but after that the story slowly develops and becomes more complex with the final explanation being quite a twist but logically developed.Although a murder mystery there are considerable sub plots and in depth descriptions of the characters and locations unfortunately although I liked the story I thought that the characters were one dimensional and I had trouble relating to them I am not sure why but perhaps they are sometimes over described for example (""Elna' double chins quivered with excitement, and Erica thought she looked like a fat little sparrow. Her woollen coat was shades of green and covered her from her shoulders to her feet"") it carries on in this vein for a while but I have copied this extract to show the style of writing. It is a book to be read slowly to make the most of it, some reviewers have said that they have scan read it so that they read only the main plot, if you want to do this it is not worth getting as the main plot would only make a short story. My only criticism with the plot is that the police seem so inept and finding a couple of the main clues which should have been obvious are left to the main female character Erica, an author who is writing a book about the events as they happen, to find.",Bob
23424,0007269854,4,I will read this whole series,A2FIVHXR4MW403,"[1, 1]",The Stone Cutter was first recommended and I loved that so decided to try more from this author.  Excellent read.  Is it something in the water up there in Scandinavia?  They are producing outstanding mysteries/thrillers.,Bob
23425,0007269854,3,baffled by the praise,A2YEY2YJPDDY5,"[2, 2]","Val McDermid raves, it's #1 in Sweden, etc ... I found it really disappointing.First, the positives:Fun to read the Swedish detail, and the opening is very good.  The dead woman is a strong and intriguing character, and the crime at the heart of the novel is good.  A lot of the secondary characters are interesting and well written.The negatives:The main character and the main detective are not very interesting or appealing.  American mystery and suspense fans will be surprised to find that many secrets are kept from the reader.  On several occasions, an important clue is discovered by one of our leads but we wait a long time to find out what it is.  As in, &#34;She looked at the piece of paper and realized this changed everything about case&#34; (I'm paraphrasing here), and then we wait 50 pp to find out what it is.  I found this extremely annoying.  The discussion questions at the end of the book compare the author to Agatha Christie, but this is not a fairly clued puzzle mystery of that type.In short:  I read to the end and some parts of the book were good, so I gave it three stars.  But I cannot understand why it is so highly praised, and I won't read another one by this author.Finally, I was puzzled by this paragraph:&#34;Snow must have just fallen over the city; the grass was still white.  In Stockholm, it only took a day or two for snow to turn into a dirty-grey slush.  She placed her mittens on a park bench and then sat down on them as protection under her seat.  Urinary tract infections were nothing to play around with; that was the last thing she needed right now.&#34;Does this make sense to anyone else?  Can you really get a UTI from sitting on a Swedish park bench?",Bookbug
