,authors,sentiment_review_score,sentiment_summary_score,sentiment_average_score,sentiment_rescaled,overall_score,combined_score
0,Elle Kennedy,0.9136099815368652,0.3459100127220154,0.6297600269317627,4.259520053863525,4.300000190734863,4.279759883880615
1,Cathy Williams,0.475662499666214,0.259856253862381,0.3677593767642975,3.73551869392395,3.9375,3.8365092277526855
2,Madelyn Alt,-0.07176001369953156,0.4136999845504761,0.17096999287605286,3.341939926147461,4.599999904632568,3.9709699153900146
3,"Dinah McCall, Sharon Sala",0.5522333383560181,0.44823333621025085,0.5002333521842957,4.000466823577881,4.833333492279053,4.416900157928467
4,Lori Wilde,0.7937697172164917,0.2371353954076767,0.5154525637626648,4.030905246734619,4.371584892272949,4.201244831085205
5,Bella Andre,0.8391633629798889,0.40074053406715393,0.6199519634246826,4.239903926849365,4.506436347961426,4.373169898986816
6,Louis L'Amour,0.5485143065452576,0.25407856702804565,0.4012964367866516,3.8025927543640137,4.785714149475098,4.294153690338135
7,Jules Verne,0.7081880569458008,0.25885096192359924,0.4835195243358612,3.967039108276367,4.426647663116455,4.196843147277832
8,Lauri Robinson,0.7103608846664429,0.23420868813991547,0.47228479385375977,3.9445695877075195,4.17391300201416,4.05924129486084
9,Sally Huss,0.8995397686958313,0.4119550883769989,0.6557474136352539,4.311494827270508,4.884777069091797,4.598135948181152
10,Elizabeth Lane,0.9236000180244446,0.49842000007629395,0.7110099792480469,4.422019958496094,4.0,4.211009979248047
11,Susan Mallery,0.6824439764022827,0.2719326317310333,0.4771883189678192,3.954376697540283,4.173298358917236,4.06383752822876
12,Jackie Braun,0.8643142580986023,0.3505142629146576,0.6074143052101135,4.2148284912109375,4.714285850524902,4.46455717086792
13,Maureen Smith,0.7932040691375732,0.28302910923957825,0.5381165742874146,4.076233386993408,4.779865741729736,4.428049564361572
14,Karen Traviss,0.3686142861843109,0.14784762263298035,0.25823095440864563,3.5164618492126465,4.154761791229248,3.8356118202209473
15,James Somers,0.6332409381866455,0.29166045784950256,0.46245071291923523,3.9249014854431152,4.425240993499756,4.1750712394714355
16,Maggie Shayne,0.7428982257843018,0.30853271484375,0.5257154703140259,4.051430702209473,4.613067150115967,4.332249164581299
17,Frank Tuttle,0.761404812335968,0.36997178196907043,0.5656883120536804,4.13137674331665,4.661070346832275,4.396223545074463
18,Melanie Milburne,0.7135462760925293,0.28520095348358154,0.4993736445903778,3.9987473487854004,3.84843373298645,3.9235904216766357
19,Linda Ford,0.6971102952957153,0.11812499910593033,0.4076176583766937,3.8152353763580322,4.088235378265381,3.951735258102417
20,Teresa Carpenter,0.8610745072364807,0.3260378837585449,0.5935562252998352,4.187112331390381,4.504292011260986,4.345702171325684
21,Sylvia Hubbard,0.5564550757408142,0.28426703810691833,0.4203610420227051,3.84072208404541,4.1504411697387695,3.99558162689209
22,Rachel Vincent,0.4904632866382599,0.1965692639350891,0.3435162901878357,3.687032461166382,4.028271675109863,3.857652187347412
23,L. Frank Baum,0.7204538583755493,0.29254621267318726,0.5065000653266907,4.013000011444092,4.527992248535156,4.270495891571045
24,Joe Hill,0.5413786768913269,0.1544322371482849,0.3479054570198059,3.6958110332489014,4.206122875213623,3.9509670734405518
25,Julie Miller,0.7806304097175598,0.33059564232826233,0.5556130409240723,4.1112260818481445,4.456521511077881,4.283874034881592
26,Diane Gaston,0.5719037055969238,0.3667222261428833,0.4693129360675812,3.9386258125305176,4.796296119689941,4.367461204528809
27,Bonnie Turner,0.5855199694633484,0.1919482797384262,0.3887341320514679,3.777468204498291,4.589029788970947,4.183248996734619
28,Jillian Hart,0.6854032874107361,0.22553680837154388,0.4554700255393982,3.910940170288086,4.5409770011901855,4.225958347320557
29,Jon F. Merz,0.6685420274734497,0.2629730999469757,0.4657575488090515,3.9315149784088135,4.287860870361328,4.109687805175781
30,Susan Meier,0.8948431611061096,0.4102070927619934,0.6525251269340515,4.305050373077393,4.126002311706543,4.215526103973389
31,The Lockman Foundation,0.5133094191551208,0.3211899995803833,0.4172497093677521,3.8344993591308594,4.543161869049072,4.188830852508545
32,Shara Azod,0.7344446182250977,0.3022499680519104,0.5183473229408264,4.036694526672363,4.1952362060546875,4.115965366363525
33,Amy Stewart,0.7943689823150635,0.4023141860961914,0.5983415842056274,4.196682929992676,4.125412464141846,4.16104793548584
34,Christine Feehan,0.7135993838310242,0.30521151423454285,0.5094054341316223,4.018810749053955,4.475827217102051,4.247319221496582
35,Nicola Cornick,0.7586666941642761,0.24738332629203796,0.5030249953269958,4.006050109863281,4.166666507720947,4.086358547210693
36,J.R. Ward,0.7478612065315247,0.32491031289100647,0.5363857746124268,4.0727715492248535,4.804971218109131,4.438871383666992
37,Will Henry,0.689128577709198,0.4107714295387268,0.5499500036239624,4.099900245666504,4.285714149475098,4.192807197570801
38,Lee Driver,0.6995664238929749,0.3905167877674103,0.5450416207313538,4.090083122253418,4.552000045776367,4.321041584014893
39,Chester D. Campbell,0.6691307425498962,0.19842307269573212,0.4337769150733948,3.8675537109375,4.42307710647583,4.145315170288086
40,Sandra Marton,0.749548077583313,0.45275551080703735,0.6011518239974976,4.202303409576416,4.520527362823486,4.361415386199951
41,Jack Campbell,0.5307319760322571,0.32845985889434814,0.4295959174633026,3.85919189453125,4.530612468719482,4.194901943206787
42,Lora Leigh,0.683775782585144,0.2906933128833771,0.48723456263542175,3.9744691848754883,4.261831760406494,4.11815071105957
43,Robert Williams,0.532318115234375,0.1986294835805893,0.36547380685806274,3.730947732925415,4.077990531921387,3.9044692516326904
44,Mark Twain,0.7187349796295166,0.2436884492635727,0.48121172189712524,3.962423324584961,4.387096881866455,4.174760341644287
45,Troy Denning,0.8145250082015991,0.22762499749660492,0.5210750102996826,4.042150020599365,4.375,4.208575248718262
46,F. Scott Fitzgerald,0.825372576713562,0.47602468729019165,0.6506986021995544,4.301397323608398,4.684049129486084,4.492722988128662
47,Arthur Conan Doyle,0.6312565207481384,0.2802673876285553,0.45576196908950806,3.9115238189697266,4.5652174949646,4.238370418548584
48,Robert Vaughan,0.604960024356842,0.2169020026922226,0.4109309911727905,3.821861982345581,4.659999847412109,4.240931034088135
49,Jennifer Crusie,0.7509638071060181,0.13237498700618744,0.44166940450668335,3.8833389282226562,4.165243625640869,4.024291038513184
50,Maria V. Snyder,0.5278400182723999,0.23910000920295715,0.38346999883651733,3.766940116882324,4.599999904632568,4.183470249176025
51,Megan Hart,0.6501862406730652,0.17532610893249512,0.41275617480278015,3.825512409210205,4.063103199005127,3.944307804107666
52,Michael Boatman,0.25895363092422485,0.2338058054447174,0.24637970328330994,3.4927594661712646,4.0,3.7463796138763428
53,Zane Grey,0.6726605296134949,0.29835841059684753,0.48550945520401,3.9710187911987305,4.459660530090332,4.215339660644531
54,Brenda Jackson,0.9206352233886719,0.3518308401107788,0.6362330317497253,4.27246618270874,4.524229049682617,4.3983473777771
55,H.P. Lovecraft,0.43048185110092163,0.04589901864528656,0.2381904274225235,3.4763808250427246,4.679945468902588,4.078163146972656
56,Helen Bianchin,0.7717000246047974,0.08557143062353134,0.42863571643829346,3.857271432876587,3.5714285373687744,3.7143499851226807
57,Timothy Zahn,0.6858927607536316,0.2441963404417038,0.4650445580482483,3.930088996887207,4.125582218170166,4.027835845947266
58,Charles Dickens,0.5507597327232361,0.22561171650886536,0.3881857395172119,3.776371479034424,4.589609146118164,4.182990074157715
59,Cathy Maxwell,0.497050017118454,0.5092999935150146,0.5031750202178955,4.006350040435791,4.0,4.003174781799316
60,Toni Blake,0.7343428730964661,0.4957999885082245,0.6150714159011841,4.230142593383789,4.285714149475098,4.257928371429443
61,Sophia James,0.48674285411834717,0.23465000092983246,0.3606964349746704,3.721392869949341,4.642857074737549,4.182125091552734
62,Jack Shane,0.7763210535049438,0.16661052405834198,0.4714657962322235,3.942931652069092,4.736842155456543,4.339886665344238
63,H. Beam Piper,0.7087599039077759,0.3558685779571533,0.5323142409324646,4.064628601074219,4.317689418792725,4.191159248352051
64,Jane Porter,0.8312088251113892,0.3902689218521118,0.6107388734817505,4.221477508544922,4.677953243255615,4.449715614318848
65,Jennie Lucas,0.8166800141334534,0.10079999268054962,0.4587399959564209,3.917479991912842,4.599999904632568,4.258739948272705
66,Grace Livingston Hill,0.755992591381073,0.3092596232891083,0.5326260924339294,4.065252304077148,4.418066024780273,4.241659164428711
67,Linda Goodnight,0.9469000101089478,0.5232124924659729,0.7350562214851379,4.470112323760986,4.625,4.547556400299072
68,Christine Merrill,0.6628767251968384,0.29963430762290955,0.48125550150871277,3.9625110626220703,4.021369457244873,3.9919402599334717
69,Anne Rainey,0.9488800168037415,0.26433998346328735,0.6066100001335144,4.213220119476318,4.599999904632568,4.406610012054443
70,H.G. Wells,0.5274612903594971,0.2871193587779999,0.4072903096675873,3.8145806789398193,4.612903118133545,4.213741779327393
71,Karen Ranney,0.989549994468689,0.2640500068664551,0.626800000667572,4.253600120544434,4.5,4.376800060272217
72,R. Austin Freeman,0.7140169739723206,0.3436717092990875,0.5288443565368652,4.0576887130737305,4.361814022064209,4.209751605987549
73,William Woodall,0.6527944207191467,0.3061833381652832,0.47948887944221497,3.958977699279785,4.277777671813965,4.118377685546875
74,Lois Greiman,0.8196975588798523,0.3525073826313019,0.5861024856567383,4.172204971313477,4.34153413772583,4.256869316101074
75,Edgar Rice Burroughs,0.7544238567352295,0.2953604459762573,0.5248921513557434,4.049784183502197,4.49439811706543,4.272090911865234
76,Laura Lippman,0.7021360397338867,0.25619572401046753,0.4791658818721771,3.958331823348999,3.4987027645111084,3.7285172939300537
77,Jeri Smith-Ready,0.6221582889556885,0.26486828923225403,0.44351327419281006,3.88702654838562,3.7556087970733643,3.821317672729492
78,Cathy McDavid,0.6088070869445801,0.25143101811408997,0.43011903762817383,3.8602380752563477,4.031452655792236,3.945845365524292
79,Victoria Alexander,0.9189171195030212,0.473978728055954,0.6964479684829712,4.392895698547363,3.8782989978790283,4.1355977058410645
80,Kim Lawrence,0.19932501018047333,0.14172500371932983,0.17052501440048218,3.341049909591675,2.75,3.045525074005127
81,B.J. Daniels,0.6660611033439636,0.3654618561267853,0.5157614946365356,4.03152322769165,4.634579658508301,4.3330512046813965
82,Jacqueline Diamond,0.7740609049797058,0.3598121404647827,0.5669365525245667,4.133872985839844,4.29918098449707,4.216526985168457
83,Mike Attebery,0.8222290873527527,0.24688227474689484,0.5345556735992432,4.069111347198486,3.367088556289673,3.718100070953369
84,Jane Austen,0.660447895526886,0.2612321376800537,0.46084004640579224,3.921679973602295,4.6406965255737305,4.281188011169434
85,Noah Lukeman,0.7853714227676392,0.24367856979370117,0.5145249962806702,4.029049873352051,4.642857074737549,4.335953712463379
86,Anonymous,0.3848784565925598,0.12177884578704834,0.2533286511898041,3.506657361984253,3.401991605758667,3.45432448387146
87,Emma Darcy,0.8316550254821777,0.39598149061203003,0.6138182282447815,4.227636337280273,4.321486473083496,4.274561405181885
88,John Galsworthy,0.5795437693595886,-0.06466098874807358,0.2574414014816284,3.514882802963257,4.154289245605469,3.8345859050750732
89,Joseph Boyden,0.6040087342262268,0.2874652147293091,0.44573694467544556,3.8914740085601807,3.82608699798584,3.8587803840637207
90,Victoria Dahl,0.9254543781280518,0.29290780425071716,0.6091811060905457,4.218362331390381,3.8261563777923584,4.02225923538208
91,Walter Jon Williams,0.46190938353538513,0.039037495851516724,0.2504734396934509,3.5009467601776123,3.90625,3.7035984992980957
92,Erik Tomblin,0.6884399652481079,0.2175000011920929,0.4529699981212616,3.905940055847168,3.799999952316284,3.8529698848724365
93,Nalini Singh,0.7888309359550476,0.3232536315917969,0.5560423135757446,4.11208438873291,4.535617828369141,4.323851108551025
94,Donna Alward,0.8114309310913086,0.2698994576931,0.5406652092933655,4.081330299377441,4.287671089172363,4.184500694274902
95,Judith K. Ivie,0.46934959292411804,0.14112405478954315,0.30523681640625,3.6104736328125,3.725283145904541,3.6678783893585205
96,Leila Jefferson,0.1958969235420227,0.029921535402536392,0.1129092276096344,3.225818395614624,4.5615386962890625,3.8936784267425537
97,Rick Just,0.7701599597930908,0.33956000208854675,0.55485999584198,4.109719753265381,4.5,4.3048601150512695
98,Steven Harper,0.6595600247383118,0.31414154171943665,0.486850768327713,3.9737014770507812,3.8307693004608154,3.902235507965088
0,Poul Anderson,0.6718698740005493,0.2121005654335022,0.44198521971702576,3.8839704990386963,4.1142191886901855,3.9990947246551514
1,Lillian Stewart Carl,0.40689998865127563,0.35962000489234924,0.38325998187065125,3.7665200233459473,4.400000095367432,4.0832600593566895
2,Barbara Morgenroth,0.720774233341217,0.30144479870796204,0.5111095309257507,4.022219181060791,4.446550369262695,4.234384536743164
3,Lorraine Bartlett,0.6958917379379272,0.31442299485206604,0.5051573514938354,4.01031494140625,4.45705509185791,4.23368501663208
4,Ruth Francisco,0.16004329919815063,0.14499640464782715,0.1525198519229889,3.305039644241333,4.231320381164551,3.7681801319122314
5,Heather Killough-Walden,0.7487800121307373,0.3142436444759369,0.5315117835998535,4.063023567199707,4.638470649719238,4.350747108459473
